date,home_team,away_team,home_score,away_score,round,"home_winner
",home_loss,home_draw
2019-04-27,SAO,BOT,2,0,1,1,0,0
2019-04-27,FLA,CRU,3,1,1,1,0,0
2019-04-27,CHA,INT,2,0,1,1,0,0
2019-04-27,ATLMG,AVA,2,1,1,1,0,0
2019-04-28,BAH,COR,3,2,1,1,0,0
2019-04-28,ATLPR,VAS,4,1,1,1,0,0
2019-04-28,GRE,SAN,1,2,1,0,1,0
2019-04-28,FLU,GOI,0,1,1,0,1,0
2019-04-28,CEA,CSA,4,0,1,1,0,0
2019-04-28,PAL,FOR,4,0,1,1,0,0
2019-05-01,INT,FLA,2,1,2,1,0,0
2019-05-01,CSA,PAL,1,1,2,0,0,1
2019-05-01,GOI,SAO,1,2,2,0,1,0
2019-05-01,VAS,ATLMG,1,2,2,0,1,0
2019-05-01,AVA,GRE,1,1,2,0,0,1
2019-05-01,FOR,ATLPR,2,1,2,1,0,0
2019-05-01,COR,CHA,1,0,2,1,0,0
2019-05-01,CRU,CEA,1,0,2,1,0,0
2019-05-02,BOT,BAH,3,2,2,1,0,0
2019-05-02,SAN,FLU,2,1,2,1,0,0
2019-05-04,VAS,COR,1,1,3,0,0,1
2019-05-04,CEA,ATLMG,1,2,3,0,1,0
2019-05-04,PAL,INT,1,0,3,1,0,0
2019-05-05,SAO,FLA,1,1,3,0,0,1
2019-05-05,GRE,FLU,4,5,3,0,1,0
2019-05-05,CSA,SAN,0,0,3,0,0,1
2019-05-05,CRU,GOI,2,1,3,1,0,0
2019-05-05,CHA,ATLPR,1,1,3,0,0,1
2019-05-05,BAH,AVA,1,0,3,1,0,0
2019-05-05,BOT,FOR,1,0,3,1,0,0
2019-05-11,FLU,BOT,0,1,4,0,1,0
2019-05-11,COR,GRE,0,0,4,0,0,1
2019-05-11,GOI,CEA,2,1,4,1,0,0
2019-05-12,ATLPR,BAH,1,0,4,1,0,0
2019-05-12,SAN,VAS,3,0,4,1,0,0
2019-05-12,ATLMG,PAL,0,2,4,0,1,0
2019-05-12,FOR,SAO,0,1,4,0,1,0
2019-05-12,INT,CRU,3,1,4,1,0,0
2019-05-12,FLA,CHA,2,1,4,1,0,0
2019-05-12,AVA,CSA,0,0,4,0,0,1
2019-05-18,ATLMG,FLA,2,1,5,1,0,0
2019-05-18,PAL,SAN,4,0,5,1,0,0
2019-05-18,FLU,CRU,4,1,5,1,0,0
2019-05-19,GOI,BOT,1,0,5,1,0,0
2019-05-19,ATLPR,COR,0,2,5,0,1,0
2019-05-19,SAO,BAH,0,0,5,0,0,1
2019-05-19,CEA,GRE,2,1,5,1,0,0
2019-05-19,VAS,AVA,1,1,5,0,0,1
2019-05-19,INT,CSA,2,0,5,1,0,0
2019-05-19,CHA,FOR,1,3,5,0,1,0
2019-05-25,BOT,PAL,0,1,6,0,1,0
2019-05-25,GRE,ATLMG,1,0,6,1,0,0
2019-05-26,BAH,FLU,3,2,6,1,0,0
2019-05-26,FOR,VAS,1,1,6,0,0,1
2019-05-26,COR,SAO,1,0,6,1,0,0
2019-05-26,SAN,INT,0,0,6,0,0,1
2019-05-26,FLA,ATLPR,3,2,6,1,0,0
2019-05-26,CRU,CHA,1,2,6,0,1,0
2019-05-27,CSA,GOI,1,0,6,1,0,0
2019-05-27,AVA,CEA,1,2,6,0,1,0
2019-06-01,BAH,GRE,1,0,7,1,0,0
2019-06-01,FLA,FOR,2,0,7,1,0,0
2019-06-02,ATLPR,FLU,3,0,7,1,0,0
2019-06-02,BOT,VAS,1,0,7,1,0,0
2019-06-02,CHA,PAL,1,2,7,0,1,0
2019-06-02,CEA,SAN,0,1,7,0,1,0
2019-06-02,SAO,CRU,1,1,7,0,0,1
2019-06-02,INT,AVA,2,0,7,1,0,0
2019-06-02,ATLMG,CSA,4,0,7,1,0,0
2019-06-07,VAS,INT,2,1,8,1,0,0
2019-06-08,CRU,COR,0,0,8,0,0,1
2019-06-08,CEA,BAH,0,0,8,0,0,1
2019-06-08,AVA,SAO,0,0,8,0,0,1
2019-06-08,PAL,ATLPR,1,0,8,1,0,0
2019-06-08,GRE,FOR,1,0,8,1,0,0
2019-06-09,FLU,FLA,0,0,8,0,0,1
2019-06-09,CSA,BOT,1,2,8,0,1,0
2019-06-09,SAN,ATLMG,3,1,8,1,0,0
2019-06-10,GOI,CHA,3,1,8,1,0,0
2019-06-12,CSA,FLA,0,2,9,0,1,0
2019-06-12,SAN,COR,1,0,9,1,0,0
2019-06-12,INT,BAH,3,1,9,1,0,0
2019-06-12,FOR,CRU,2,1,9,1,0,0
2019-06-12,BOT,GRE,0,1,9,0,1,0
2019-06-13,CHA,FLU,1,1,9,0,0,1
2019-06-13,ATLMG,SAO,1,1,9,0,0,1
2019-06-13,GOI,ATLPR,2,1,9,1,0,0
2019-06-13,PAL,AVA,2,0,9,1,0,0
2019-06-13,VAS,CEA,1,0,9,1,0,0
2019-07-13,GRE,VAS,2,1,10,1,0,0
2019-07-13,SAO,PAL,1,1,10,0,0,1
2019-07-13,BAH,SAN,0,1,10,0,1,0
2019-07-13,FOR,AVA,2,0,10,1,0,0
2019-07-14,CRU,BOT,0,0,10,0,0,1
2019-07-14,CHA,ATLMG,1,2,10,0,1,0
2019-07-14,ATLPR,INT,1,0,10,1,0,0
